"Slide Name"	"Experiment"
"shcr134"	"BC-L-042"
"shcr135"	"BC-D-063"
"shcr136"	"BC-D-065"
"shcr137"	"K-Mu-001"
"shcr138"	"K-D-003"
"shcr139"	"K-D-004"
"shcr140"	"K-D-005"
"shcr141"	"K-R-007"
"shcr142"	"K-D-009"
"shcr144"	"K-D-006"
"shdm160"	"ULL-L-138"
"shdm161"	"ULL-L-222"
"shdm162"	"ULL-L-136"
"shdm163"	"ULL-L-190"
"shdm164"	"ULL-D-016"
"shdm165"	"ULL-MU-063"
"shdm166"	"ULL-D-038"
"shdm167"	"ULL-D-013"
"shdm168"	"ULL-D-037"
"shdm169"	"ULL-D-048"
"shdm170"	"ULL-TL-055"
"shdm171"	"ULL-D-057"
"shdo034"	"AK-T-009"
"shdo037"	"AK-T-019"
"shdo040"	"AK-T-022"
"shdo042"	"AK-T-004"
"shdo043"	"AK-T-008"
"shdo166"	"AK-T-010"
"shdo168"	"AK-T-014"
"shdo169"	"AK-T-017"
"shdp111"	"ULL-D-075"
"shdp112"	"ULL-D-101"
"shdp113"	"ULL-TL-107"
"shdp114"	"ULL-D-113"
"shdp115"	"ULL-T-123"
"shdp116"	"ULL-D-132"
"shdp117"	"ULL-D-143"
"shdp118"	"ULL-D-150"
"shdp119"	"ULL-D-165"
"shdp120"	"ULL-D-167"
"shdp121"	"ULL-D-183"
"shdp122"	"ULL-D-184"
"shdp123"	"ULL-D-188"
"shdp124"	"ULL-DCIS-199"
"shdp125"	"ULL-D-230"
"shdp127"	"ULL-D-044"
"shdp128"	"ULL-D-053"
"shdp129"	"ULL-D-067"
"shdp130"	"ULL-D-085"
"shdp233"	"ULL-D-135"
"shdp234"	"ULL-D-134"
"shdp235"	"ULL-D-139"
"shdp236"	"ULL-D-144"
"shdp239"	"K-D-150"
"shdp240"	"K-D-151"
"shdq186"	"K-D-129"
"shdq187"	"K-D-134"
"shds014"	"AK-T-001"
"shds051"	"BC-D-027"
"shds052"	"BC-D-046"
"shds053"	"BC-D-050"
"shds054"	"BC-D-051"
"shds055"	"BC-D-080"
"shds061"	"AK-T-002"
"shds146"	"AK-T-005"
"shds149"	"AK-T-011"
"shds152"	"AK-T-015"
"shds155"	"AK-T-016"
"shds252"	"AK-T-006"
"shef007"	"K-D-138"
"shef046"	"K-D-124"
"shef047"	"K-D-125"
"shef049"	"K-D-130"
"shef050"	"K-D-135"
"shef051"	"K-D-137"
"shef056"	"K-D-112"
"shef066"	"K-D-111"
"shef070"	"K-D-114"
"shef072"	"K-D-121"
"shef087"	"K-D-144"
"shef089"	"K-Med-096Q"
"shef090"	"K-Med-098"
"shef091"	"K-D-114Q"
"shef092"	"K-D-131"
"shef099"	"BC-NRm-156"
"shef132"	"K-D-115"
"shef133"	"K-D-116"
"shef134"	"K-D-117"
"shef135"	"K-D-118"
"shef136"	"K-D-120"
"shef152"	"K-D-123"
"shef153"	"K-D-126"
"shef155"	"K-D-127"
"shef156"	"K-D-132"
"shef171"	"K-R-158"
"shef172"	"K-D-142"
"shef173"	"K-D-145"
"shef186"	"K-D-080"
"shef187"	"K-D-136"
"shef216"	"K-Med-097"
"shef217"	"K-Med-096"
"shef218"	"K-D-143"
"shef235"	"K-D-122"
"shef237"	"K-D-128"
"shef238"	"K-Med-062"
"sher072"	"BC-NRm-146"
"sher108"	"BC-NRm-151"
"sher109"	"BC-N-140"
"svcc100"	"BC24"
"svcc101"	"BC710A-BE"
"svcc103"	"BC214A-AF"
"svcc104"	"BC708B-BE"
"svcc105"	"BC805A-BE"
"svcc106"	"BC115B-BE"
"svcc107"	"BC208A-BE"
"svcc1077"	"BC1257"
"svcc108"	"BC116A-BE"
"svcc109"	"BC124B-AF"
"svcc111"	"BC124A-BE"
"svcc1114"	"BC-A"
"svcc112"	"BC118A-AF"
"svcc113"	"BC2-LN2"
"svcc115"	"BC38"
"svcc116"	"BC38-LN38"
"svcc117"	"BC37-FA"
"svcc118"	"BC35-0"
"svcc119"	"BC17"
"svcc120"	"BC711B-BE"
"svcc121"	"BC805B-AF"
"svcc122"	"BC111A-BE"
"svcc123"	"BC406A-BE"
"svcc124"	"BC808A-BE"
"svcc125"	"BC208B-AF"
"svcc126"	"BC808A-AF"
